Configuration,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,TotalTime
g6m1p1,0.000272,0.000274,0.000293,0.000269,0.000269,0.000272,0.000299,0.000267,0.000287,0.000287,0.000281,0.000282,0.000294,0.000280,0.000286,0.000285,0.000274,0.000291,0.000290,0.000280,0.000276,0.000309,0.000282,0.000270,0.000272,0.000274,0.000276,0.000281,0.000273,0.000302,0.000280,0.000293,0.000272,0.000270,0.000271,0.000274,0.000276,0.000290,0.000273,0.000296,0.000290,0.000283,0.000271,0.000286,0.000279,0.000273,0.000265,0.000302,0.000287,0.000271,90.656551774
g6m1p4,0.000371,0.000366,0.000450,0.000493,0.000557,0.000352,0.000351,0.000303,0.000324,0.000457,0.000387,0.000450,0.000431,0.000329,0.000430,0.000437,0.000529,0.000395,0.000447,0.000441,0.000523,0.000436,0.000372,0.000341,0.000348,0.000390,0.000409,0.000340,0.000412,0.000406,0.000391,0.000505,0.000431,0.000390,0.000346,0.000469,0.000388,0.000430,0.000410,0.000478,0.000430,0.000461,0.000404,0.000368,0.000370,0.000376,0.000394,0.000449,0.000400,0.000451,89.695065402
g6m2p4,0.041648,0.041846,0.031555,0.031803,0.031999,0.041708,0.031711,0.041768,0.031827,0.032228,0.032483,0.031808,0.041705,0.032115,0.041676,0.032660,0.041723,0.041653,0.041811,0.041936,0.031894,0.041840,0.042327,0.041801,0.041741,0.031936,0.041823,0.041779,0.041848,0.031767,0.041704,0.041675,0.031585,0.041848,0.041859,0.031673,0.031604,0.041733,0.041658,0.031851,0.042107,0.031723,0.031888,0.032097,0.031704,0.031824,0.042156,0.034698,0.041979,0.031521,96.584389284
g6m4p4,0.040734,0.023875,0.024387,0.024201,0.023988,0.024734,0.024441,0.039877,0.024090,0.014144,0.023959,0.023943,0.042636,0.023760,0.024145,0.024191,0.024234,0.024073,0.023952,0.024132,0.024059,0.024420,0.023908,0.024012,0.023954,0.024423,0.024057,0.024087,0.024073,0.024130,0.040064,0.024031,0.025560,0.024193,0.024786,0.040389,0.024928,0.023935,0.024272,0.024401,0.024822,0.023949,0.024060,0.024097,0.038839,0.024324,0.024088,0.023980,0.023867,0.024188,93.184069265
g6m3p9,0.043806,0.044221,0.044244,0.044038,0.044060,0.051509,0.043979,0.043875,0.043883,0.043945,0.050949,0.083308,0.044204,0.083805,0.033842,0.044163,0.044309,0.043820,0.044060,0.043977,0.043819,0.043913,0.043933,0.043871,0.043925,0.043963,0.043959,0.064092,0.043904,0.044105,0.053809,0.044058,0.044143,0.043970,0.044118,0.044186,0.043857,0.044007,0.043894,0.043834,0.043994,0.044021,0.084803,0.043919,0.044142,0.043861,0.043991,0.043851,0.084323,0.043814,95.851999511
