Configuration,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,TotalTime
g300m1p1,g300m1p1,0.934718,0.932770,0.935134,0.937108,0.935131,0.933106,0.937564,0.935164,0.934205,0.935862,0.935392,0.935459,0.935034,0.932580,0.935290,0.935504,0.935749,0.935668,0.935218,0.937726,0.936567,0.938195,0.936391,0.938593,0.932362,0.935347,0.938204,0.937502,0.935581,0.938241,0.938219,0.934522,0.935130,0.937816,0.934000,0.941646,0.933813,0.937031,0.941214,0.934105,0.936102,0.936123,0.936027,0.937526,0.934559,0.938426,0.933581,0.937631,0.940120,0.937245,148.742964792
g300m1p4,0.244155,0.244751,0.245142,0.243231,0.244800,0.244347,0.245100,0.244029,0.243997,0.243537,0.245316,0.243983,0.246414,0.243640,0.274898,0.242855,0.268398,0.243959,0.244736,0.266729,0.270170,0.245980,0.244829,0.263658,0.262944,0.243680,0.244857,0.245910,0.244850,0.243524,0.273787,0.244696,0.266635,0.245120,0.242612,0.244385,0.244081,0.245486,0.245566,0.246132,0.246133,0.245588,0.245002,0.268583,0.262402,0.244305,0.265721,0.246331,0.246484,0.245943,106.848200231
g300m2p4,0.315429,0.315866,0.315796,0.324579,0.314113,0.315018,0.321246,0.326087,0.323802,0.323043,0.313571,0.313655,0.312915,0.324056,0.326881,0.325045,0.310433,0.315380,0.312616,0.325099,0.326113,0.316973,0.321728,0.313316,0.317824,0.325226,0.322685,0.322617,0.325469,0.314511,0.322616,0.315554,0.322031,0.324598,0.314203,0.314968,0.316742,0.326026,0.328128,0.317092,0.325873,0.322307,0.316503,0.325061,0.326504,0.323925,0.314955,0.316123,0.323615,0.325918,118.886793381
g300m4p4,0.521964,0.518376,0.524529,0.514743,0.539400,0.516245,0.511155,0.513765,0.524495,0.527423,0.524268,0.536240,0.512395,0.526745,0.544087,0.524683,0.547115,0.520802,0.522147,0.521096,0.511886,0.514722,0.548174,0.522955,0.513885,0.546883,0.547107,0.509342,0.506727,0.523397,0.511464,0.513573,0.519650,0.516397,0.520345,0.521526,0.524072,0.524775,0.521167,0.524714,0.543768,0.519017,0.533480,0.517074,0.506250,0.520149,0.513000,0.521582,0.515899,0.520790,123.381988560
g300m3p9,0.187585,0.186462,0.189250,0.188649,0.187368,0.186660,0.187418,0.185531,0.186656,0.185631,0.187160,0.187311,0.183104,0.186747,0.187751,0.188039,0.186169,0.187972,0.185102,0.184754,0.186524,0.187401,0.186841,0.190114,0.186484,0.187425,0.190558,0.186471,0.185886,0.184659,0.186481,0.187442,0.190356,0.185875,0.187137,0.187091,0.193236,0.187276,0.185751,0.186275,0.185197,0.185624,0.186718,0.184986,0.189535,0.186633,0.187644,0.186981,0.184618,0.186688,104.882483898
g300mp9u,0.188854,0.184383,0.184971,0.185914,0.197448,0.184876,0.187853,0.188288,0.194166,0.183615,0.180937,0.190688,0.184167,0.189695,0.192601,0.187629,0.179867,0.177033,0.173509,0.176411,0.177864,0.192455,0.183009,0.189729,0.190141,0.183781,0.194169,0.177672,0.182090,0.188817,0.185477,0.179532,0.185626,0.185117,0.174843,0.193012,0.187744,0.195364,0.182797,0.190284,0.197975,0.183536,0.185874,0.184960,0.185362,0.185712,0.184367,0.175333,0.189179,0.175697,105.276722801
g300m2p9u,0.221192,0.199213,0.188228,0.190949,0.180389,0.193576,0.201686,0.216993,0.188349,0.191139,0.187042,0.198969,0.184687,0.207517,0.196200,0.188840,0.201585,0.197880,0.194823,0.201520,0.195364,0.201944,0.195905,0.189023,0.189431,0.192395,0.196353,0.188418,0.207793,0.229597,0.192153,0.200531,0.199793,0.186753,0.211695,0.189226,0.185813,0.232543,0.201310,0.211081,0.187660,0.208471,0.198494,0.184826,0.209470,0.205479,0.187216,0.197598,0.189937,0.215422,107.834298004
g300m2p16u,0.146929,0.136625,0.146669,0.148875,0.141702,0.148587,0.145287,0.152402,0.192239,0.166314,0.146846,0.142514,0.135852,0.200002,0.145064,0.147477,0.132221,0.154561,0.144844,0.149707,0.144549,0.144769,0.144185,0.142964,0.158394,0.152427,0.134990,0.145316,0.173295,0.148146,0.171532,0.154110,0.158883,0.155829,0.153075,0.153582,0.134357,0.147698,0.141873,0.183500,0.142459,0.158473,0.146391,0.165856,0.137757,0.372985,0.142174,0.141723,0.135805,0.137117,117.049022382
g300m4p16,0.429217,0.465630,0.382872,0.420324,0.425646,0.424807,0.481189,0.447712,0.432301,0.454545,0.433250,0.372565,0.374337,0.461114,0.460409,0.439843,0.383401,0.423391,0.399835,0.424251,0.426920,0.395140,0.435196,0.384690,0.373924,0.476661,0.381235,0.392468,0.379893,0.462476,0.467327,0.426982,0.422283,0.471946,0.431245,0.433499,0.463934,0.423655,0.423464,0.680753,0.422393,0.389431,0.383310,0.468257,0.421368,0.461753,0.427073,0.422171,0.447625,0.426943,116.941212329
g300m8p16,0.441302,0.469546,0.477160,0.482997,0.478881,0.486880,0.461713,0.494503,0.444336,0.469010,0.526873,0.429753,0.500240,0.469064,0.540041,0.503245,0.517579,0.668359,0.453772,0.448655,0.477599,0.489950,0.446609,0.491731,0.473899,0.482054,0.437006,0.714472,0.533181,0.433625,0.464838,0.471443,0.444178,0.635676,0.439857,0.733825,0.676523,0.440375,0.440238,0.452527,0.450602,0.451368,0.508284,0.627218,0.461405,0.499435,0.463723,0.755046,0.431249,0.418716,126.122353344
