Configuration,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,TotalTime
g1200m1p1,71.918920,72.295460,72.070516,72.111872,72.177718,72.449201,72.332030,72.780999,72.637283,72.441090,72.780830,72.282089,72.729373,72.400158,72.628884,72.501204,73.952003,72.373996,72.268291,72.663392,71.600759,73.238533,72.519351,73.177496,72.362699,71.734843,72.361890,72.425235,71.863764,72.332993,72.065535,72.296361,71.447089,71.804878,72.442177,71.605728,72.886308,73.262858,73.241084,72.437920,71.740283,72.634925,71.808696,72.558434,71.746975,71.649158,72.727479,72.672720,71.631311,72.643253,3719.750967745
g1200m1p4,19.203057,19.301999,19.409061,19.422880,19.773784,19.617667,19.581093,19.596557,19.661321,19.619598,20.056834,19.617206,19.607226,19.642301,19.459222,19.567609,19.753861,19.605811,19.564670,19.653957,19.644090,19.656192,19.689830,19.677947,19.651648,19.528708,20.413832,19.567764,19.466158,19.624686,19.723775,20.515770,19.557387,19.583555,19.712609,19.806085,19.638208,19.779225,19.905923,19.594962,19.611419,19.472530,19.804402,19.575405,19.658817,19.647359,19.722910,19.575721,19.694191,19.659546,1091.124275132
g1200m2p4,19.320534,19.530211,19.6j0876,19.858338,19.747418,19.767844,19.591602,19.928666,19.817853,19.978856,19.517810,19.508535,19.572549,19.955389,19.904301,19.836184,19.804245,19.664184,19.434885,19.903188,19.944901,19.467672,19.693204,19.942559,19.481470,19.744157,19.545151,19.758498,19.652601,19.933133,19.633882,19.558025,19.479072,19.771168,19.591939,19.500644,19.689148,19.593223,19.686350,19.632925,19.706424,19.475746,19.708025,19.497158,19.674965,19.822606,19.603757,19.734005,19.649422,19.599448,1079.026847544
g1200m4p4,24.022908,24.035729,23.906500,23.925995,23.916899,23.915703,23.981829,24.215573,23.902673,23.996857,23.798182,23.960425,23.945182,23.826740,23.961197,24.025294,23.769456,23.968956,24.028183,24.151420,23.819415,24.207834,23.867592,23.969540,23.788867,23.911022,24.026098,23.858281,23.980359,23.846867,23.936872,23.691211,24.007651,24.065287,23.878666,23.784015,23.956699,23.992073,23.993139,23.730620,23.868652,23.835255,23.944493,23.776195,23.916438,23.916254,23.902356,23.919478,23.863760,23.932445,1293.677728701
g1200m3p9,8.967892,9.175592,8.965951,9.069834,9.058929,9.061614,9.082610,9.086632,9.103045,9.103636,9.097132,9.105652,9.130206,9.069913,9.179138,9.138195,9.073990,9.082648,9.112393,9.181449,9.111156,9.216226,9.125484,9.153224,9.131747,9.122621,9.121199,9.116876,9.116071,9.108158,9.141284,9.116989,9.170492,9.150800,9.137687,9.117054,9.128530,9.172469,9.148593,9.140761,9.199633,9.125798,9.191301,9.161094,9.136994,9.138264,9.171919,9.160787,9.154473,9.194036,550.355117134
g1200m2p9u,9.266769,9.309852,9.381115,9.328644,9.331426,9.385797,9.394575,9.357404,9.806077,9.434679,9.447801,9.396683,9.417780,9.407759,9.368748,9.490641,9.378215,9.481006,9.471643,9.469279,9.409926,9.431940,9.411260,9.456281,9.394062,9.385735,9.412081,9.398751,9.455738,9.597425,9.340630,9.461114,9.401772,9.438369,9.435971,9.646829,9.527411,9.423093,9.485742,9.427228,9.472432,9.495470,9.391739,9.406426,9.469988,9.475992,9.427853,9.437884,9.508626,9.479367,564.882987166
g1200m2p9u,9.262295,9.116347,9.148229,9.207132,9.142315,9.193612,9.169851,9.190128,9.220912,9.273073,9.215398,9.282360,9.220215,9.257597,9.265323,9.395957,9.346968,9.238415,9.279209,9.223560,9.227608,9.242524,9.254723,9.332327,9.287031,9.304488,9.430366,9.445616,9.243399,9.264124,9.247449,9.307613,9.258355,9.328942,9.242206,9.281358,9.350475,9.279170,9.250836,9.300504,9.297437,9.246093,9.257565,9.351434,9.265643,9.263201,9.277266,9.358097,9.246329,9.273676,555.199637438
g1200m2p16,5.549214,5.538450,5.550j68,5.561597,5.569281,5.639121,5.582219,5.603008,5.584049,5.587990,5.835612,5.645810,5.595039,5.618696,5.620837,5.616598,5.613621,5.627077,5.689227,5.640409,5.642271,5.670535,5.623867,5.664422,5.620653,5.667113,5.672678,5.673241,5.704629,5.623507,6.243276,6.096803,5.643045,5.616799,5.616308,5.847969,5.622844,5.648581,5.637660,5.665117,5.632033,5.647717,5.830399,5.634880,5.623917,5.627508,5.635783,5.768016,5.698066,5.664159,389.754622483
g1200m4p16,10.688291,10.522400,10.632398,10.669339,10.681185,10.666144,10.555182,10.836082,10.602542,10.535926,10.743362,10.629044,10.649104,10.631242,10.662168,10.675428,10.665460,10.565922,10.810658,10.913153,10.732909,10.793038,10.702200,11.166240,10.730559,10.758186,10.668659,10.712292,10.789577,11.080168,10.712249,10.781900,10.625353,10.594747,10.627369,10.633471,10.724726,10.743980,10.706661,10.674785,10.784588,10.690174,10.671526,10.862552,11.009738,10.603842,10.628492,10.733599,10.747647,10.759510,627.510384755
g1200m8p16,11.520631,11.603577,11.551973,11.576563,11.211790,11.288633,11.207920,11.281054,11.639119,11.708699,11.729339,11.390333,11.550370,11.213783,11.543905,11.507156,11.222105,11.090500,11.496401,11.514048,11.809836,11.148016,11.215241,11.517204,11.697050,11.474900,11.476992,11.470340,11.428875,11.567937,11.071485,11.654352,11.374756,11.416499,11.480871,11.595099,11.543383,11.049164,11.913250,11.158184,11.207249,11.491952,11.101876,11.607101,11.406447,11.521578,11.522781,11.691804,11.598361,11.679261,669.207045002
g1200m5p25,9.192918,9.260690,9.645935,9.574487,9.549953,9.238791,9.075028,9.302894,9.105836,9.142928,9.332058,9.275550,9.241538,9.319716,9.402941,9.120328,9.497294,9.509919,9.343559,9.469367,9.761529,9.561606,9.156270,9.262543,9.276302,9.206976,9.328381,9.221359,9.329148,9.744833,9.176753,9.427808,9.333823,9.153033,9.437762,9.547335,9.265286,9.427506,9.379756,9.364507,9.386197,9.275409,9.264229,9.255737,9.288598,9.539042,10.647200,9.171328,9.843456,9.366064,565.316601112
g1200m4p25u,5.721345,5.783960,5.906192,5.765843,5.935124,6.067708,5.768946,6.188232,5.768264,5.903150,5.759104,5.872368,5.908460,5.731338,5.821973,6.120171,6.365443,5.829289,5.922714,5.762952,5.747652,5.794919,6.017199,5.749015,5.863945,5.831807,6.937282,6.053419,5.880272,6.155501,6.135350,5.812381,5.781508,5.997908,6.229179,5.829272,5.956407,5.845358,5.951175,6.231485,5.844649,6.016416,5.951754,5.777258,5.793128,6.513213,5.987361,6.267159,5.728042,5.829984,392.587832681
g1200m6p36,8.505757,8.638413,8.460479,9.045914,8.693357,8.544876,8.835520,8.836186,8.258499,8.729851,8.596222,8.418758,8.637397,8.282140,8.712915,9.085205,8.310832,9.313124,8.898812,8.743568,8.656415,8.602111,9.331499,8.449679,9.299972,8.655799,8.534417,8.445518,9.008347,9.666298,9.015821,8.865464,8.431202,8.736461,10.057570,9.041936,8.434505,8.975288,9.133271,8.586035,9.123104,9.063863,9.004702,8.871951,8.584602,8.612571,8.762664,8.398223,8.649247,8.982036,536.202774177
g1200m5p36u,11.603947,10.173749,11.177403,11.720636,10.747399,11.719375,10.633807,11.048961,11.320670,10.303130,10.624253,11.756433,11.734354,10.816897,11.263099,10.666115,10.374190,10.689528,10.423451,10.627310,10.331080,10.976974,11.727480,10.568548,10.402596,10.469200,10.400867,10.828388,10.272173,10.786767,10.673863,11.576220,11.486660,10.789084,11.354566,10.197165,10.279608,10.629779,11.481056,11.482033,11.679136,11.549474,11.512536,10.746883,11.233658,10.344132,10.924846,10.641192,11.007176,10.763310,647.961664494
