Configuration,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,TotalTime
g600m1p1,8.676932,8.650786,12.742118,12.752439,12.732453,12.778734,12.722405,12.716522,12.710506,12.682633,12.679765,12.700697,12.676990,12.692176,12.675965,12.746583,12.777370,12.771983,12.741472,12.786548,12.742788,12.651094,12.594941,12.603306,12.599839,12.604181,12.603236,12.607096,12.601510,12.613867,12.602132,12.596656,12.608369,12.607980,12.586587,12.602558,12.601002,12.594445,12.605343,12.605686,12.593935,12.609009,12.604717,12.664113,13.861037,12.598621,12.606851,12.606604,12.597736,12.598973,717.651902795
g600m1p4,2.138213,2.135303,2.143300,2.150007,2.142237,2.135002,2.141383,2.269621,2.141142,2.138311,2.173554,2.142165,2.141030,2.145913,2.154839,2.149114,2.150423,2.174495,2.158129,2.154470,2.156682,2.160624,2.159627,2.155336,2.170851,2.165430,2.162779,2.157929,2.171083,2.161211,2.173542,2.164322,2.161336,2.163849,2.177787,2.165493,2.182379,2.165637,2.191934,2.177077,2.153664,2.174538,2.181998,2.173965,2.190959,2.153874,2.159483,2.165375,2.154703,2.155470,199.324295508
g600m2p4,2.366784,2.339956,2.320096,2.310676,2.309816,2.326239,2.315442,2.303683,2.339767,2.300378,2.339431,2.311169,2.524372,2.317917,2.329077,2.355661,2.335965,2.347435,2.350106,2.323840,2.334037,2.534400,2.328202,2.315364,2.309437,2.305067,2.314640,2.352032,2.305833,2.296339,2.297891,2.335655,2.341033,2.321500,2.318475,2.295908,2.296641,2.366646,2.360009,2.345137,2.342015,2.327340,2.380737,2.495847,2.338450,2.506470,2.328064,2.314026,2.299521,2.342783,207.456001514
g600m4p4,2.305913,2.341933,2.324803,2.350472,2.319532,2.338351,2.305481,2.341318,2.331930,2.424558,2.306065,3.111617,2.984594,2.360819,2.316036,2.309169,2.327304,2.316654,2.350573,2.304525,2.314934,2.328629,2.339708,2.330029,2.340809,2.479973,2.325461,2.365111,2.311778,2.321304,2.310016,2.348198,2.343633,2.339454,2.341170,2.321877,2.329654,2.318242,2.336337,2.319915,2.339566,2.466713,2.293738,2.338117,2.342040,2.298947,2.331339,2.355582,2.336249,2.318832,207.960550552
g600m3p9,1.181551,1.174656,1.180126,1.178607,1.169610,1.176823,1.216934,1.214117,1.183191,1.178579,1.178590,1.176895,1.181421,1.183432,1.168495,1.186723,1.185501,1.175429,1.235583,1.194688,1.189999,1.187222,1.179119,1.181192,1.187238,1.182477,1.176403,1.183360,1.212082,1.178860,1.180412,1.185449,1.188190,1.183799,1.180410,1.222718,1.181314,1.182665,1.176138,1.181914,1.230354,1.185946,1.186221,1.177021,1.210726,1.179157,1.192050,1.175085,1.174846,1.178796,148.652154348
g600mp9u,1.355551,1.283679,1.227889,1.184093,1.297469,1.309724,1.258703,1.189082,1.189442,1.193257,1.180232,1.246781,1.299466,1.182392,1.172904,1.185342,1.250341,1.180565,1.193975,1.199762,1.192273,1.184930,1.180109,1.200123,1.180211,1.218529,1.177383,1.193661,1.178727,1.186601,1.322755,1.184727,1.391673,1.198988,1.194571,1.182061,1.220380,1.385356,1.364158,1.480212,1.205679,1.239928,1.198464,1.189310,1.227818,1.188053,1.183605,1.192815,1.268787,1.189139,151.158214020
g600m2p9u,1.129402,1.243452,1.120610,1.290495,1.162063,1.276758,1.288461,1.208432,1.124602,1.213554,1.245332,1.277995,1.122684,1.156727,1.126673,1.195529,1.237905,1.165329,1.119002,1.301624,1.180967,1.259126,1.335992,1.344189,1.136515,1.256620,1.137748,1.242113,1.340285,1.224378,1.152439,1.186523,1.245603,1.323539,1.279776,1.170636,1.132711,1.141761,1.128217,1.130967,1.244249,1.343554,1.359000,1.137577,1.122910,1.163725,1.154773,1.125350,1.148694,1.252950,151.383794971
g600m2p16u,0.765319,0.770628,0.749179,0.773115,0.762969,0.761155,0.748367,0.739152,0.777705,0.776751,0.785154,0.772609,0.758510,0.781656,0.778305,0.753060,0.751482,0.781989,0.743401,0.808005,0.776658,0.772635,0.763031,0.754396,0.772545,0.789982,0.811691,0.997150, 0.764554,0.781511,0.805605,0.777799,0.771057,0.753479,0.786345,g600m2p16u,0.778384,0.773781,0.763761,0.774127,0.773323,0.788576,0.807229,0.787315,0.769550,0.752440,0.785838,0.782136,0.802163,0.769173,0.763841,0.809952,0.781901,0.786023,0.946530,0.787376,0.783647,0.773079,0.777206,0.782331,0.802846,0.797528,0.764612,0.790697,0.761343,0.792760,0.770732,0.787064,0.769361,0.777529,0.797238,0.810297,0.760598,0.802114,0.772351,0.751285,0.766641,0.765132,0.755696,0.780345,0.791595,0.786444,0.837536,0.777847,0.969715,0.769630,135.822262626
g600m4p16,2.296162,2.821961,2.385945,2.198009,2.266157,2.053547,2.368695,3.081785,3.278507,2.044482,2.047539,2.316228,2.461426,2.210090,2.132820,2.065607,2.191353,2.247603,3.071107,2.600989,2.061779,2.055742,2.252937,3.253813,2.438663,2.441117,2.205038,2.201456,2.018864,3.028516,2.243631,2.283636,2.216795,2.063574,2.253924,2.277896,2.263634,2.196247,2.225673,2.287349,2.024776,2.219461,3.087929,2.255963,2.151426,2.252562,2.849240,2.071779,2.230071,2.242672,209.950300377
g600m8p16,2.187056,2.156291,2.273019,2.514769,2.131400,2.370692,2.351715,2.259446,2.501153,2.251036,2.312189,2.460426,2.518862,2.451598,2.331426,2.509279,2.089864,2.272615,2.125929,2.508362,2.292852,2.313301,2.130677,2.112992,2.353349,2.241220,2.477412,2.538817,2.483747,2.268744,2.361274,2.482844,2.689465,2.530112,2.315416,2.496593,2.086437,2.478280,2.186389,2.519915,2.247237,2.111886,2.631676,2.492673,2.144156,2.538794,2.134445,2.285834,2.125242,2.115871,207.944551879
